| Name                                        | Text                                                                                                     |                                               Runtime | Goal Type | Target Condition / Enquired Information                                                                       | Relation | Justification                                                                                                                                                                            |
| **G14: Tray-Based Meal Retrieval**          | Have the correct meal fetched from the robot tray by a capable actor.                                    |                                           **G15#G16** | Achieve   | Target: correct meal is fetched from robot tray and accountability data is recorded.                          | AND      | Tray retrieval must include both the physical handover and correctness/accountability monitoring.                                                                                        |
| **G15: Cooperatively Fetch Meal from Tray** | Support tray retrieval by inpatient, companion, nurse, or another robot.                                 | **FALLBACK(FALLBACK(FALLBACK(AT10,AT11),AT12),AT13)** | Achieve   | Target: a capable actor retrieves the meal from the robot tray.                                               | OR       | The mission lists alternative cooperating actors: inpatient, companion, nurse, or another robot. Fallback is used because some actors may be unavailable or unable.                      |
| **G16: Ensure Correct Meal Accountability** | Indicate the correct meal, track when and where it is retrieved, and alert on wrong retrieval.           |                                    **AT14#AT15#AT16** | Achieve   | Target: correct meal retrieval is guided, logged, and wrong retrieval is detected/alerted.                    | AND      | The robot must indicate the correct meal, track when and where each meal was retrieved, and alert if a wrong meal is retrieved.                                                          |
| **G17: Table-Based Meal Placement**         | Place the food onto the room table using a robot with manipulation skill.                                |                                              **AT17** | Achieve   | Target: food is placed on the room table.                                                                     | AND      | The description explicitly says food can be delivered into a room table by a robot, requiring special manipulation skill.                                                                |
| **G18: Retrieve Dirty Dishes**              | Retrieve dirty dishes from the inpatient room.                                                           |                                       **G19;G20;G23** | Achieve   | Target: dirty dishes are retrieved from the room.                                                             | AND      | Dish retrieval requires receiving/using pickup information, accessing the room, and performing one of the retrieval modes.                                                               |
| **G19: Obtain Dish Pickup Call**            | Receive a call from someone in the room requesting dirty-dish pickup and possible door-opening help.     |                                         **AT18#AT19** | Query     | Enquired information: pickup request and whether the caller can open the door.                                | AND      | Someone in the room can call a robot to pick up dishes and can signal whether they can open the door.                                                                                    |
| **G20: Access Room for Dish Retrieval**     | Reach the room and obtain access for dish retrieval.                                                     |                                           **G21;G22** | Achieve   | Target: robot can access the room for dirty-dish pickup.                                                      | AND      | The robot must go to the room and may need cooperative door opening.                                                                                                                     |
| **G21: Navigate to Dish Pickup Room**       | Move to the room where dirty dishes should be retrieved.                                                 |                                              **AT20** | Perform   | Action: navigation to pickup room is performed.                                                               | AND      | Dirty dishes are retrieved from the room, so the robot must reach that room.                                                                                                             |
| **G22: Open Door for Dish Retrieval**       | Open or obtain opening of the room door for dish retrieval.                                              |                               **FALLBACK(AT21,AT22)** | Achieve   | Target: room door is open for dish retrieval.                                                                 | AND      | Door opening can involve cooperation with a human or another robot; fallback handles one option failing.                                                                                 |
| **G23: Perform Dirty-Dish Pickup**          | Pick up dirty dishes using an unassisted, robot-robot, or robot-human mode.                              |                   **FALLBACK(FALLBACK(G24,G25),G26)** | Achieve   | Target: dirty dishes are removed from the room.                                                               | AND      | Dish retrieval can occur unassisted, with two robots, or with robots and a human.                                                                                                        |
| **G24: Unassisted Dish Retrieval**          | Retrieve dirty dishes without assistance.                                                                |                                              **AT23** | Achieve   | Target: robot retrieves dishes alone.                                                                         | OR       | The mission explicitly allows unassisted dish retrieval.                                                                                                                                 |
| **G25: Two-Robot Dish Retrieval**           | Retrieve dirty dishes with cooperation between two robots.                                               |                                              **AT24** | Achieve   | Target: two robots cooperatively retrieve dishes.                                                             | OR       | The mission explicitly allows cooperation of two robots.                                                                                                                                 |
| **G26: Robot-Human Dish Retrieval**         | Retrieve dirty dishes with cooperation between robot and human.                                          |                                              **AT25** | Achieve   | Target: robot and human cooperatively retrieve dishes.                                                        | OR       | The mission explicitly allows cooperation of robots and a human.                                                                                                                         |

