Below is a source-grounded goal-model decomposition for the mission. I’m using the mission’s own definitions: a goal model decomposes goals into sub-goals and tasks through AND/OR relations, and runtime annotations describe sequential, parallel, or fallback execution over sub-goals.  

## Interpreted mission scope

The mission is to collect required resources from storage locations and deliver them to the requesting agent at a specified location. The process has two main phases: collection and delivery. During collection, the robot visits storage places based on an ordering criterion: estimated waiting time plus path distance. During delivery, the robot performs as many runs as needed to deliver all resources. The mission also includes battery-contingency behavior and optional parallelization when resources must be collected from different storages. 

---

# Goal tables

## G1: Resource Request Fulfilled

| Name                           | Text                                                                                                                                         |   Runtime | Goal Type | Target Condition / QueriedProperty                                              | Relation | Justification                                                                                                                                                                                                            |
| ----------------------------------- | -------------------------------------------------------------- | ------: | --------- | ------------------------------------------------------- | -------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| G4.1.1: Storage Visit Order Defined | Define the order in which storage locations should be visited. |   `AT2` | Query     | Estimated waiting time plus robot path to each storage. | AND      | The storage order is defined by the estimated waiting time summed with the path to be run by the robot, so this goal obtains and applies that planning information.  |

## G4.1.2: Resources Collected

| Name                        | Text                                                                                        |                        Runtime | Goal Type | Target Condition / QueriedProperty             | Relation | Justification                                                                                                                                                     |
| --------------------------- | ------------------------------------------------------------------------------------------- | -----------------------------: | --------- | ---------------------------------------------- | -------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| G4.1.2: Resources Collected | Visit the required storage locations, request resources, and wait until they are retrieved. | `(G4.1.2.1;G4.1.2.2;G4.1.2.3)` | Achieve   | Required resources are retrieved from storage. | AND      | Collection requires the robot to go to storage, send a message specifying the resources, and wait until retrieval is complete. These actions occur sequentially.  |

## G4.1.2.1: Storage Reached

| Name                      | Text                                                          | Runtime | Goal Type | Target Condition / QueriedProperty                         | Relation | Justification                                                                                            |
| ------------------------- | ------------------------------------------------------------- | ------: | --------- | ---------------------------------------------------------- | -------- | -------------------------------------------------------------------------------------------------------- |
| G4.1.2.1: Storage Reached | Ensure the assigned robot reaches the selected storage place. |   `AT3` | Achieve   | Robot is physically located at the selected storage place. | AND      | The robot must go to the storage places where resources can be found before requesting those resources.  |

## G4.1.2.2: Resource Request Sent

| Name                            | Text                                                                                     | Runtime | Goal Type | Target Condition / QueriedProperty                   | Relation | Justification                                                                                                                               |
| ------------------------------- | ---------------------------------------------------------------------------------------- | ------: | --------- | ---------------------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------------------------------------------- |
| G4.1.2.2: Resource Request Sent | Send a message to the storage with the precise specification of the requested resources. |   `AT4` | Perform   | Message with precise resource specification is sent. | AND      | This is a perform goal because the required behavior is the execution of a communication action: the robot sends a message to the storage.  |

## G4.1.2.3: Resources Retrieved

| Name                          | Text                                                               | Runtime | Goal Type | Target Condition / QueriedProperty                              | Relation | Justification                                                                                            |
| ----------------------------- | ------------------------------------------------------------------ | ------: | --------- | --------------------------------------------------------------- | -------- | -------------------------------------------------------------------------------------------------------- |
| G4.1.2.3: Resources Retrieved | Wait until the requested resources have been retrieved by storage. |   `AT5` | Achieve   | Requested resources are available to the robot after retrieval. | AND      | The robot must wait until the resources have been retrieved; once retrieved, the delivery phase begins.  |

## G4.2: Parallel Collection Planned

| Name                              | Text                                                                                                          |                  Runtime | Goal Type | Target Condition / QueriedProperty                                       | Relation | Justification                                                                                                                           |
| --------------------------------- | ------------------------------------------------------------------------------------------------------------- | -----------------------: | --------- | ------------------------------------------------------------------------ | -------- | --------------------------------------------------------------------------------------------------------------------------------------- |
| G4.2: Parallel Collection Planned | Assign multiple robots to parallel collect-deliver tasks when resources are required from different storages. | `(G4.2.1#G4.2.2#G4.2.3)` | Achieve   | Multiple collect-deliver assignments are created for different storages. | AND      | The description explicitly allows multiple robots to be assigned in parallel when multiple items are required from different storages.  |

## G4.2.1: Parallel Task Set Identified

| Name                                 | Text                                                                                 | Runtime | Goal Type | Target Condition / QueriedProperty                   | Relation | Justification                                                                                 |
| ------------------------------------ | ------------------------------------------------------------------------------------ | ------: | --------- | ---------------------------------------------------- | -------- | --------------------------------------------------------------------------------------------- |
| G4.2.1: Parallel Task Set Identified | Identify which requested items can be collected from different storages in parallel. |   `AT6` | Query     | Items and corresponding different storage locations. | AND      | Parallelization is only applicable when multiple items are required from different storages.  |

## G4.2.2: Multiple Robots Assigned

| Name                             | Text                                                                   | Runtime | Goal Type | Target Condition / QueriedProperty                               | Relation | Justification                                                                                                                     |
| -------------------------------- | ---------------------------------------------------------------------- | ------: | --------- | ---------------------------------------------------------------- | -------- | --------------------------------------------------------------------------------------------------------------------------------- |
| G4.2.2: Multiple Robots Assigned | Assign multiple robots to the eligible parallel collect-deliver tasks. |   `AT7` | Perform   | Multiple robots are assigned to different storage-related tasks. | AND      | Assignment is an operational action, and the description says multiple robots can be assigned to reduce mission completion time.  |

## G4.2.3: Parallel Collection Executed

| Name                                 | Text                                                 | Runtime | Goal Type | Target Condition / QueriedProperty                        | Relation | Justification                                                                                            |
| ------------------------------------ | ---------------------------------------------------- | ------: | --------- | --------------------------------------------------------- | -------- | -------------------------------------------------------------------------------------------------------- |
| G4.2.3: Parallel Collection Executed | Execute parallel collection from different storages. |   `AT8` | Achieve   | Required resources from different storages are collected. | AND      | This goal represents the state reached after multiple robots perform collect-deliver tasks in parallel.  |

## G5: Delivery Completed

| Name                   | Text                                                                               |   Runtime | Goal Type | Target Condition / QueriedProperty                     | Relation | Justification                                                                                                                    |
| ---------------------- | ---------------------------------------------------------------------------------- | --------: | --------- | ------------------------------------------------------ | -------- | -------------------------------------------------------------------------------------------------------------------------------- |
| G5: Delivery Completed | Deliver all collected resources to the requesting agent at the specified location. | `(G6;G7)` | Achieve   | All resources are delivered to the specified location. | AND      | Once resources are retrieved, the delivery phase begins; the robot performs as many runs as necessary to deliver all resources.  |

## G6: Delivery Runs Performed

| Name                        | Text                                                                   | Runtime | Goal Type | Target Condition / QueriedProperty                                      | Relation | Justification                                                                                                                        |
| --------------------------- | ---------------------------------------------------------------------- | ------: | --------- | ----------------------------------------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------------------------------------ |
| G6: Delivery Runs Performed | Perform as many delivery runs as necessary to transport all resources. |   `AT9` | Achieve   | Every required resource has been transported to the specified location. | AND      | The mission states that during delivery, the robot makes as many runs as necessary to take all resources to the specified location.  |

## G7: Battery Contingencies Managed

| Name                              | Text                                                                      |       Runtime | Goal Type | Target Condition / QueriedProperty                             | Relation | Justification                                                                                                                                          |
| --------------------------------- | ------------------------------------------------------------------------- | ------------: | --------- | -------------------------------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------ |
| G7: Battery Contingencies Managed | Monitor and handle low-battery situations during collection and delivery. | `(G7.1#G7.2)` | Achieve   | Low-battery situations are handled according to mission phase. | AND      | The mission defines different battery thresholds and responses for collection and delivery, so both contingency branches belong to the mission model.  |

## G7.1: Collection Low-Battery Managed

| Name                                 | Text                                                                                                                |           Runtime | Goal Type | Target Condition / QueriedProperty                                  | Relation | Justification                                                                                                                               |
| ------------------------------------ | ------------------------------------------------------------------------------------------------------------------- | ----------------: | --------- | ------------------------------------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------------------------------------------- |
| G7.1: Collection Low-Battery Managed | If battery reaches 10% during collection, return to the recharging station and assign the mission to another robot. | `(G7.1.1;G7.1.2)` | Achieve   | Mission is reassigned after the low-battery robot goes to recharge. | AND      | During collection, the low-battery threshold is 10%; the robot returns to the recharging station and assigns the mission to another robot.  |

## G7.1.1: Robot Recharged During Collection Failure

| Name                                              | Text                                                       | Runtime | Goal Type | Target Condition / QueriedProperty                              | Relation | Justification                                                                                   |
| ------------------------------------------------- | ---------------------------------------------------------- | ------: | --------- | --------------------------------------------------------------- | -------- | ----------------------------------------------------------------------------------------------- |
| G7.1.1: Robot Recharged During Collection Failure | Send the low-battery robot back to the recharging station. |  `AT10` | Achieve   | Robot is at the recharging station after low-battery detection. | AND      | The required response to 10% battery during collection is to return to the recharging station.  |

## G7.1.2: Collection Mission Reassigned

| Name                                  | Text                                                      | Runtime | Goal Type | Target Condition / QueriedProperty             | Relation | Justification                                                                                                       |
| ------------------------------------- | --------------------------------------------------------- | ------: | --------- | ---------------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------------------- |
| G7.1.2: Collection Mission Reassigned | Assign the remaining collection mission to another robot. |  `AT11` | Perform   | Another robot receives the mission assignment. | AND      | The mission states that after returning to the recharging station, the robot assigns the mission to another robot.  |

## G7.2: Delivery Low-Battery Managed

| Name                               | Text                                                                                                                                                                              |                            Runtime | Goal Type | Target Condition / QueriedProperty                                                | Relation | Justification                                                                                                                                                                                                  |
| ---------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------: | --------- | --------------------------------------------------------------------------------- | -------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| G7.2: Delivery Low-Battery Managed | If battery reaches 30% during delivery, return the resource to a checkpoint and assign the remaining task to another robot; if checkpoint return fails, trigger alert and report. | `FALLBACK((G7.2.1;G7.2.2),G7.2.3)` | Achieve   | Delivery task is safely transferred, or failure is escalated by alert and report. | AND      | During delivery, the low-battery threshold is 30%. The preferred response is to return the resource to a checkpoint and reassign the task; if returning the resource fails, an alert and report are required.  |

## G7.2.1: Resource Returned to Checkpoint

| Name                                    | Text                                                                           | Runtime | Goal Type | Target Condition / QueriedProperty      | Relation | Justification                                                                                                 |
| --------------------------------------- | ------------------------------------------------------------------------------ | ------: | --------- | --------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------------- |
| G7.2.1: Resource Returned to Checkpoint | Return the carried resource to a checkpoint when delivery battery reaches 30%. |  `AT12` | Achieve   | Resource is positioned at a checkpoint. | AND      | The description says the robot must return the resource to a checkpoint when battery is low during delivery.  |

## G7.2.2: Remaining Delivery Reassigned

| Name                                  | Text                                                                                         | Runtime | Goal Type | Target Condition / QueriedProperty                                                    | Relation | Justification                                                                                                          |
| ------------------------------------- | -------------------------------------------------------------------------------------------- | ------: | --------- | ------------------------------------------------------------------------------------- | -------- | ---------------------------------------------------------------------------------------------------------------------- |
| G7.2.2: Remaining Delivery Reassigned | Assign the remaining delivery task to another robot and communicate the checkpoint position. |  `AT13` | Perform   | Another robot knows where the resource is positioned and receives the remaining task. | AND      | The mission states the remaining task is assigned to another robot, which will know where the resource is positioned.  |

## G7.2.3: Checkpoint Failure Escalated

| Name                                 | Text                                                                                                    |       Runtime | Goal Type | Target Condition / QueriedProperty                       | Relation | Justification                                                                                                                                              |
| ------------------------------------ | ------------------------------------------------------------------------------------------------------- | ------------: | --------- | -------------------------------------------------------- | -------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------- |
| G7.2.3: Checkpoint Failure Escalated | Trigger an alert and send a report to the sector manager if returning the resource to checkpoint fails. | `(AT14;AT15)` | Perform   | Alert is triggered and report is sent to sector manager. | AND      | The mission explicitly states that if returning the resource to a checkpoint fails, an alert must be triggered and the report sent to the sector manager.  |

---

# Task tables

| Name                                | Text                                                                                                 | Relation | Location                           | Number of Robots | Justification                                                                                                                                                                                                     |
| ----------------------------------- | ---------------------------------------------------------------------------------------------------- | -------- | ---------------------------------- | ---------------: | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| AT1: Identify Storage Places        | Identify storage places where the requested resources can be found.                                  | AND      | Storage places                     |                1 | This task operationalizes the query for storage locations. The description says the robot must go to storage places where the resources can be found.                                                             |
| AT2: Estimate Visit Order           | Estimate waiting time plus robot path and define storage visit order.                                | AND      | Storage places                     |                1 | The mission defines the order by estimated waiting time summed with the robot path.                                                                                                                               |
| AT3: Go to Storage                  | Move the assigned robot to the selected storage place.                                               | AND      | Storage places                     |                1 | The robot must go to storage places before requesting resources.                                                                                                                                                  |
| AT4: Send Resource Message          | Send a message to storage with precise specification of requested resources.                         | AND      | Storage places                     |                1 | The description explicitly requires the robot to send a message to storage with precise resource specification.                                                                                                   |
| AT5: Wait for Retrieval             | Wait until the requested resources have been retrieved.                                              | AND      | Storage places                     |                1 | The robot waits until resources have been retrieved; only then does delivery begin.                                                                                                                               |
| AT6: Identify Parallelizable Items  | Identify multiple required items located in different storages.                                      | AND      | Storage places                     |                1 | Parallel execution is only mentioned for multiple items required from different storages.                                                                                                                         |
| AT7: Assign Multiple Robots         | Assign multiple robots to parallel collect-deliver tasks.                                            | AND      | Storage places; specified location |            [2,n] | The mission says multiple robots can be assigned to parallel collect-deliver tasks to reduce mission time. The exact number is not specified, so a range is inferred from the number of different-storage tasks.  |
| AT8: Execute Parallel Collection    | Robots collect resources from different storages in parallel.                                        | AND      | Storage places                     |            [2,n] | This task implements parallel collection when multiple resources are distributed across different storages.                                                                                                       |
| AT9: Deliver Resources              | Carry resources to the requesting agent at the specified location, making as many runs as necessary. | AND      | Specified location                 |       1 or [2,n] | Delivery may be done by the assigned robot, or by multiple robots when parallel collect-deliver tasks are used. The description allows multiple runs and multiple robots in different-storage cases.              |
| AT10: Return to Recharging Station  | Send the low-battery robot to the recharging station during collection.                              | AND      | Recharging station                 |                1 | The collection-phase low-battery rule says the robot goes back to the recharging station at 10% battery.                                                                                                          |
| AT11: Reassign Collection Mission   | Assign the remaining collection mission to another robot.                                            | AND      | Recharging station                 |                1 | The robot assigns the mission to another robot after the 10% collection-phase battery condition.                                                                                                                  |
| AT12: Return Resource to Checkpoint | Return the carried resource to a checkpoint during delivery low-battery condition.                   | AND      | Checkpoint                         |                1 | During delivery, at 30% battery, the robot must return the resource to a checkpoint.                                                                                                                              |
| AT13: Assign Remaining Delivery     | Assign the remaining delivery task to another robot and communicate the resource position.           | AND      | Checkpoint; specified location     |                1 | The replacement robot must know where the resource is positioned.                                                                                                                                                 |
| AT14: Trigger Alert                 | Trigger an alert if the robot fails to return the resource to a checkpoint.                          | AND      | Checkpoint                         |                1 | The mission requires an alert when checkpoint return fails.                                                                                                                                                       |
| AT15: Send Failure Report           | Send the failure report to the sector manager.                                                       | AND      | Sector manager                     |                1 | The description states that the report must be sent to the sector manager after checkpoint-return failure.                                                                                                        |

---

# Summary table

| Element                                          | Type | Parent | Children / Tasks             | Runtime                            | Relation |
| ------------------------------------------------ | ---- | ------ | ---------------------------- | ---------------------------------- | -------- |
| G1 Resource Request Fulfilled                    | Goal | —      | G2, G5                       | `G2;G5`                            | AND      |
| G2 Collection Prepared                           | Goal | G1     | G3, G4                       | `G3;G4`                            | AND      |
| G3 Storage Information Obtained                  | Goal | G2     | AT1                          | `AT1`                              | AND      |
| G4 Collection Strategy Selected                  | Goal | G2     | G4.1, G4.2                   | `FALLBACK(G4.1,G4.2)`              | OR       |
| G4.1 Single-Robot Collection Planned             | Goal | G4     | G4.1.1, G4.1.2               | `G4.1.1;G4.1.2`                    | AND      |
| G4.1.1 Storage Visit Order Defined               | Goal | G4.1   | AT2                          | `AT2`                              | AND      |
| G4.1.2 Resources Collected                       | Goal | G4.1   | G4.1.2.1, G4.1.2.2, G4.1.2.3 | `G4.1.2.1;G4.1.2.2;G4.1.2.3`       | AND      |
| G4.1.2.1 Storage Reached                         | Goal | G4.1.2 | AT3                          | `AT3`                              | AND      |
| G4.1.2.2 Resource Request Sent                   | Goal | G4.1.2 | AT4                          | `AT4`                              | AND      |
| G4.1.2.3 Resources Retrieved                     | Goal | G4.1.2 | AT5                          | `AT5`                              | AND      |
| G4.2 Parallel Collection Planned                 | Goal | G4     | G4.2.1, G4.2.2, G4.2.3       | `G4.2.1#G4.2.2#G4.2.3`             | AND      |
| G4.2.1 Parallel Task Set Identified              | Goal | G4.2   | AT6                          | `AT6`                              | AND      |
| G4.2.2 Multiple Robots Assigned                  | Goal | G4.2   | AT7                          | `AT7`                              | AND      |
| G4.2.3 Parallel Collection Executed              | Goal | G4.2   | AT8                          | `AT8`                              | AND      |
| G5 Delivery Completed                            | Goal | G1     | G6, G7                       | `G6;G7`                            | AND      |
| G6 Delivery Runs Performed                       | Goal | G5     | AT9                          | `AT9`                              | AND      |
| G7 Battery Contingencies Managed                 | Goal | G5     | G7.1, G7.2                   | `G7.1#G7.2`                        | AND      |
| G7.1 Collection Low-Battery Managed              | Goal | G7     | G7.1.1, G7.1.2               | `G7.1.1;G7.1.2`                    | AND      |
| G7.1.1 Robot Recharged During Collection Failure | Goal | G7.1   | AT10                         | `AT10`                             | AND      |
| G7.1.2 Collection Mission Reassigned             | Goal | G7.1   | AT11                         | `AT11`                             | AND      |
| G7.2 Delivery Low-Battery Managed                | Goal | G7     | G7.2.1, G7.2.2, G7.2.3       | `FALLBACK((G7.2.1;G7.2.2),G7.2.3)` | AND      |
| G7.2.1 Resource Returned to Checkpoint           | Goal | G7.2   | AT12                         | `AT12`                             | AND      |
| G7.2.2 Remaining Delivery Reassigned             | Goal | G7.2   | AT13                         | `AT13`                             | AND      |
| G7.2.3 Checkpoint Failure Escalated              | Goal | G7.2   | AT14, AT15                   | `AT14;AT15`                        | AND      |

---

# Logical relationships

**G1 -> G2, G5 [AND][sequential: `G2;G5`]**
Justification: Collection must happen before delivery because the delivery phase begins once the resources have been retrieved. 

**G2 -> G3, G4 [AND][sequential: `G3;G4`]**
Justification: The system must know where resources can be found before selecting and executing a collection strategy.

**G3 -> AT1 [AND]**
Justification: The goal is satisfied by identifying storage places containing the required resources.

**G4 -> G4.1, G4.2 [OR][fallback: `FALLBACK(G4.1,G4.2)`]**
Justification: A single robot is the default interpretation of “the assigned robot,” while multiple robots are an alternative optimization when resources are required from different storages. 

**G4.1 -> G4.1.1, G4.1.2 [AND][sequential: `G4.1.1;G4.1.2`]**
Justification: The robot first defines the storage order, then performs collection.

**G4.1.1 -> AT2 [AND]**
Justification: The task directly implements the ordering rule based on waiting time plus path.

**G4.1.2 -> G4.1.2.1, G4.1.2.2, G4.1.2.3 [AND][sequential: `G4.1.2.1;G4.1.2.2;G4.1.2.3`]**
Justification: The robot must reach storage, send the resource request message, and wait until retrieval.

**G4.1.2.1 -> AT3 [AND]**
Justification: The robot must physically go to storage places where resources are found.

**G4.1.2.2 -> AT4 [AND]**
Justification: The robot must send the storage a precise specification of requested resources.

**G4.1.2.3 -> AT5 [AND]**
Justification: The robot must wait until the resources are retrieved before delivery begins.

**G4.2 -> G4.2.1, G4.2.2, G4.2.3 [AND][parallel: `G4.2.1#G4.2.2#G4.2.3`]**
Justification: Parallel planning involves identifying parallelizable storage tasks, assigning robots, and executing collection in parallel to reduce time.

**G4.2.1 -> AT6 [AND]**
Justification: The model must determine whether items are located in different storages.

**G4.2.2 -> AT7 [AND]**
Justification: Multiple robots must be assigned before parallel execution can occur.

**G4.2.3 -> AT8 [AND]**
Justification: This task performs the parallel collection from different storages.

**G5 -> G6, G7 [AND][sequential: `G6;G7`]**
Justification: Delivery execution and contingency management are both necessary. G7 is modeled after G6 in the runtime sequence because battery issues are monitored during execution and handled when they arise.

**G6 -> AT9 [AND]**
Justification: Delivery requires making as many runs as necessary to transport all resources to the specified location.

**G7 -> G7.1, G7.2 [AND][parallel/conditional monitoring: `G7.1#G7.2`]**
Justification: Collection and delivery have different battery thresholds and responses, so both contingency policies must exist in the model.

**G7.1 -> G7.1.1, G7.1.2 [AND][sequential: `G7.1.1;G7.1.2`]**
Justification: In collection, the robot first returns to the recharging station, then the mission is assigned to another robot.

**G7.1.1 -> AT10 [AND]**
Justification: AT10 implements the return-to-recharging-station behavior.

**G7.1.2 -> AT11 [AND]**
Justification: AT11 implements reassignment of the mission to another robot.

**G7.2 -> G7.2.1, G7.2.2, G7.2.3 [AND][fallback: `FALLBACK((G7.2.1;G7.2.2),G7.2.3)`]**
Justification: In delivery, the preferred path is to return the resource to checkpoint and reassign the remaining task. If the checkpoint return fails, the fallback is alerting and reporting.

**G7.2.1 -> AT12 [AND]**
Justification: AT12 implements the resource return to checkpoint.

**G7.2.2 -> AT13 [AND]**
Justification: AT13 implements reassignment to another robot and transfer of resource-position knowledge.

**G7.2.3 -> AT14, AT15 [AND][sequential: `AT14;AT15`]**
Justification: Both alert triggering and report sending are required after checkpoint-return failure.

---

## Notes on modeling choices

I treated the main mission as an **Achieve goal** because it has a target state: required resources delivered to the requesting agent at the specified location. I treated information-gathering goals as **Query goals**, especially storage identification and visit-order estimation, because those goals retrieve mission-planning information rather than directly changing the world. I treated message sending, robot assignment, alert triggering, and report sending as **Perform goals/tasks** because they primarily require execution of an action.

The main inferred point is the number of robots. The description clearly supports one assigned robot as the baseline and multiple robots for different-storage parallel tasks, but it does not give an exact upper bound. Therefore, I used **1** for single-robot tasks and **[2,n]** for parallel tasks.

